key,0,1,2,3,4,5,6,7,8
#,Image,Icon,,UnlockCondition,,,,SortKey,Name
int32,Image,Image,byte,BannerCondition,uint16,uint16,uint16,uint16,str
0,0,82091,0,0,0,0,0,0,"なし"
1,190002,82091,1,1,0,0,0,1,"無地：グレー"
2,190003,82091,1,1,0,0,0,3,"四角形"
3,190004,82091,1,1,0,0,0,4,"無地：パープル"
4,190005,82091,1,1,0,0,0,5,"グラデーション：TANK"
5,190006,82091,1,1,0,0,0,7,"グラデーション：DPS"
6,190007,82091,1,1,0,0,0,6,"グラデーション：HEALER"
7,190008,82091,1,1,0,0,0,2,"羊皮紙"
8,190009,82091,1,1,0,0,0,9,"エーテル空間"
9,190010,82091,1,1,0,0,0,8,"ウッドパターン"
10,190011,82091,1,1,0,0,0,10,"ヴォイド空間"
11,190301,82091,2,124,0,0,0,2150,"ナイト（ダイナミック）"
12,190302,82091,2,125,0,0,0,2151,"戦士（ダイナミック）"
13,190303,82091,2,126,0,0,0,2152,"暗黒騎士（ダイナミック）"
14,190304,82091,2,127,0,0,0,2153,"ガンブレイカー（ダイナミック）"
15,190305,82091,2,128,0,0,0,2154,"白魔道士（ダイナミック）"
16,190306,82091,2,129,0,0,0,2155,"学者（ダイナミック）"
17,190307,82091,2,130,0,0,0,2156,"占星術師（ダイナミック）"
18,190308,82091,2,131,0,0,0,2157,"賢者（ダイナミック）"
19,190309,82091,2,132,0,0,0,2158,"モンク（ダイナミック）"
20,190310,82091,2,133,0,0,0,2159,"竜騎士（ダイナミック）"
21,190311,82091,2,134,0,0,0,2160,"忍者（ダイナミック）"
22,190312,82091,2,135,0,0,0,2161,"侍（ダイナミック）"
23,190313,82091,2,136,0,0,0,2162,"リーパー（ダイナミック）"
24,190314,82091,2,137,0,0,0,2164,"吟遊詩人（ダイナミック）"
25,190315,82091,2,138,0,0,0,2165,"機工士（ダイナミック）"
26,190316,82091,2,139,0,0,0,2166,"踊り子（ダイナミック）"
27,190317,82091,2,140,0,0,0,2167,"黒魔道士（ダイナミック）"
28,190318,82091,2,141,0,0,0,2168,"召喚士（ダイナミック）"
29,190319,82091,2,142,0,0,0,2169,"赤魔道士（ダイナミック）"
30,190401,82091,10,143,0,0,0,3000,"チーム・アストラ"
31,190402,82091,10,144,0,0,0,3001,"チーム・アンブラ"
