key,0,1,2,3
#,Icon,JournalCategory,,Name
int32,Image,JournalCategory,bit&01,str
0,0,0,False,""
1,61412,1,True,"新生エオルゼア"
2,61412,2,True,"第七星暦ストーリー"
3,61412,3,True,"蒼天のイシュガルド"
4,61412,4,True,"竜詩戦争 完結編"
5,61412,5,True,"竜詩戦争 戦後編"
6,61412,6,True,"紅蓮のリベレーター"
7,61412,7,True,"解放戦争 戦後編"
8,61412,8,True,"漆黒のヴィランズ"
9,61412,9,True,"暁の帰還編"
10,61412,10,True,"終末の序曲編"
11,61412,11,True,"暁月のフィナーレ"
12,61412,12,True,"新たなる冒険編"
13,61412,13,True,"黄金のレガシー"
14,61412,14,True,"黄金のレガシー 完結編"
15,61411,15,True,"蛮神の脅威"
16,61411,16,True,"バハムート"
17,61411,17,True,"クリスタルタワー"
18,61411,18,True,"アレキサンダー"
19,61411,19,True,"古の神々"
20,61411,20,True,"シャドウ・オブ・マハ"
21,61411,21,True,"次元の狭間オメガ"
22,61411,21,True,"次元の狭間オメガ 番外編"
23,61411,22,True,"リターン・トゥ・イヴァリース"
24,61411,23,True,"四聖獣奇譚"
25,61411,24,True,"エデン"
26,61411,25,True,"YoRHa: Dark Apocalypse"
27,61411,26,True,"ウェポンシリーズ"
28,61411,27,True,"パンデモニウム"
29,61411,27,True,"パンデモニウム 番外編"
30,61411,28,True,"ミソロジー・オブ・エオルゼア"
31,61411,29,True,"アルカディア"
32,61411,30,True,"エコーズ オブ ヴァナ・ディール"
33,61411,31,True,"ストーリークエスト"
34,61411,31,True,"デイリークエスト"
35,61411,32,True,"ストーリークエスト"
36,61411,32,True,"デイリークエスト"
37,61411,33,True,"ストーリークエスト"
38,61411,33,True,"デイリークエスト"
39,61411,35,True,"ストーリークエスト"
40,61411,35,True,"デイリークエスト"
41,61411,36,True,"ストーリークエスト"
42,61411,36,True,"デイリークエスト"
43,61411,37,True,"ストーリークエスト"
44,61411,37,True,"デイリークエスト"
45,61411,38,True,"ストーリークエスト"
46,61411,38,True,"デイリークエスト"
47,61411,39,True,"ストーリークエスト"
48,61411,39,True,"デイリークエスト"
49,61411,40,True,"ストーリークエスト"
50,61411,40,True,"デイリークエスト"
51,61411,41,True,"ストーリークエスト"
52,61411,41,True,"デイリークエスト"
53,61411,42,True,"ストーリークエスト"
54,61411,42,True,"デイリークエスト"
55,61411,43,True,"ストーリークエスト"
56,61411,43,True,"デイリークエスト"
57,61411,44,True,"ストーリークエスト"
58,61411,44,True,"デイリークエスト"
59,61411,45,True,"ストーリークエスト"
60,61411,45,True,"デイリークエスト"
61,61411,46,True,"ストーリークエスト"
62,61411,46,True,"デイリークエスト"
63,61411,47,True,"ストーリークエスト"
64,61411,47,True,"デイリークエスト"
65,61411,48,True,"ストーリークエスト"
66,61411,48,True,"デイリークエスト"
67,61411,49,True,"ストーリークエスト"
68,61411,49,True,"デイリークエスト"
69,61411,50,True,"ストーリークエスト"
70,61411,50,True,"デイリークエスト"
71,61411,51,True,"ストーリークエスト"
72,61411,51,True,"デイリークエスト"
73,61411,52,True,"友好部族エクストラストーリー"
74,61411,52,True,"友好部族エクストラストーリー 蒼天編"
75,61411,52,True,"友好部族エクストラストーリー 紅蓮編"
76,61411,52,True,"友好部族エクストラストーリー 暁月編"
77,61411,53,True,"竜詩戦争 番外編"
78,61411,53,True,"暁の帰還 番外編"
79,61411,53,True,"新たなる冒険 番外編"
80,61411,54,True,"ヒルディブランド"
81,61411,54,True,"ヒルディブランド 蒼天編"
82,61411,54,True,"ヒルディブランド 紅蓮編"
83,61411,54,True,"帰ってきたヒルディブランド"
84,61411,54,True,"マンダヴィルウェポン"
85,61411,54,True,"帰ってきたヒルディブランド 黄金編"
86,61411,55,True,"ゾディアックウェポン"
87,61411,55,True,"アニマウェポン"
88,61411,55,True,"禁断の地 エウレカ"
89,61411,55,True,"セイブ・ザ・クイーン"
90,61411,55,True,"ファントムウェポン"
91,61411,57,True,"第七霊災回顧録"
92,61411,57,True,"レターモーグリ"
93,61411,57,True,"聖アンダリム神学院記"
94,61411,57,True,"ヴォイド再生計画"
95,61411,57,True,"タタルの大繁盛商店"
96,61411,56,True,"ドマ冒険者団"
97,61411,56,True,"ドマ町人地復興記"
98,61411,56,True,"イシュガルド復興：ストーリークエスト"
99,61411,56,True,"イシュガルド復興：サブクエスト"
100,61411,56,True,"モーエンツール"
101,61411,56,True,"死者の宮殿"
102,61411,56,True,"アメノミハシラ"
103,61411,56,True,"オルト・エウレカ"
104,61411,56,True,"ピルグリム・トラバース"
105,61411,56,True,"無人島開拓記"
106,61411,56,True,"ヴァリアントダンジョン"
107,61411,56,True,"コスモエクスプローラー：ストーリークエスト"
108,61411,56,True,"コスモエクスプローラー：サブクエスト"
109,61411,56,True,"蜃気楼の島 クレセントアイル"
110,61411,58,True,"サブクエスト：ラノシア"
111,61411,59,True,"サブクエスト：黒衣森"
112,61411,60,True,"サブクエスト：ザナラーン"
113,61411,61,True,"サブクエスト：クルザス"
114,61411,62,True,"サブクエスト：モードゥナ"
115,61411,63,True,"サブクエスト：イシュガルド"
116,61411,64,True,"サブクエスト：アバラシア雲海"
117,61411,65,True,"サブクエスト：高地ドラヴァニア"
118,61411,65,True,"サブクエスト：低地ドラヴァニア"
119,61411,65,True,"サブクエスト：ドラヴァニア雲海"
120,61411,65,True,"サブクエスト：イディルシャイア"
121,61411,66,True,"サブクエスト：アジス・ラー"
122,61411,67,True,"サブクエスト：ラールガーズリーチ"
123,61411,67,True,"サブクエスト：ギラバニア辺境地帯"
124,61411,67,True,"サブクエスト：ギラバニア山岳地帯"
125,61411,67,True,"サブクエスト：ギラバニア湖畔地帯"
126,61411,69,True,"サブクエスト：クガネ"
127,61411,68,True,"サブクエスト：紅玉海"
128,61411,68,True,"サブクエスト：ヤンサ"
129,61411,68,True,"サブクエスト：アジムステップ"
130,61411,70,True,"サブクエスト：クリスタリウム"
131,61411,71,True,"サブクエスト：ユールモア"
132,61411,70,True,"サブクエスト：レイクランド"
133,61411,71,True,"サブクエスト：コルシア島"
134,61411,72,True,"サブクエスト：アム・アレーン"
135,61411,73,True,"サブクエスト：イル・メグ"
136,61411,74,True,"サブクエスト：ラケティカ大森林"
137,61411,75,True,"サブクエスト：テンペスト"
138,61411,76,True,"サブクエスト：オールド・シャーレアン"
139,61411,77,True,"サブクエスト：ラザハン"
140,61411,76,True,"サブクエスト：ラヴィリンソス"
141,61411,77,True,"サブクエスト：サベネア島"
142,61411,78,True,"サブクエスト：ガレマルド"
143,61411,79,True,"サブクエスト：嘆きの海"
144,61411,80,True,"サブクエスト：エルピス"
145,61411,81,True,"サブクエスト：ウルティマ・トゥーレ"
146,61411,82,True,"サブクエスト：トライヨラ"
147,61411,82,True,"サブクエスト：オルコ・パチャ"
148,61411,82,True,"サブクエスト：コザマル・カ"
149,61411,82,True,"サブクエスト：ヤクテル樹海"
150,61411,83,True,"サブクエスト：シャーローニ荒野"
151,61411,83,True,"サブクエスト：ヘリテージファウンド"
152,61411,83,True,"サブクエスト：ソリューション・ナイン"
153,61411,84,True,"サブクエスト：リビング・メモリー"
154,62301,85,True,"剣術士クエスト"
155,62302,85,True,"格闘士クエスト"
156,62303,85,True,"斧術士クエスト"
157,62304,85,True,"槍術士クエスト"
158,62305,85,True,"弓術士クエスト"
159,62309,85,True,"双剣士クエスト"
160,62306,86,True,"幻術士クエスト"
161,62307,86,True,"呪術士クエスト"
162,62308,86,True,"巴術士クエスト"
163,62310,87,True,"木工師クエスト"
164,62311,87,True,"鍛冶師クエスト"
165,62312,87,True,"甲冑師クエスト"
166,62313,87,True,"彫金師クエスト"
167,62314,87,True,"革細工師クエスト"
168,62315,87,True,"裁縫師クエスト"
169,62316,87,True,"錬金術師クエスト"
170,62317,87,True,"調理師クエスト"
171,62318,88,True,"採掘師クエスト"
172,62319,88,True,"園芸師クエスト"
173,62320,88,True,"漁師クエスト"
174,62401,92,True,"ナイトクエスト"
175,62402,92,True,"モンククエスト"
176,62403,92,True,"戦士クエスト"
177,62404,92,True,"竜騎士クエスト"
178,62405,92,True,"吟遊詩人クエスト"
179,62410,92,True,"忍者クエスト"
180,62406,93,True,"白魔道士クエスト"
181,62407,93,True,"黒魔道士クエスト"
182,62408,93,True,"召喚士クエスト"
183,62409,93,True,"学者クエスト"
184,62412,92,True,"暗黒騎士クエスト"
185,62411,92,True,"機工士クエスト"
186,62413,93,True,"占星術師クエスト"
187,62414,92,True,"侍クエスト"
188,62415,93,True,"赤魔道士クエスト"
189,62417,92,True,"ガンブレイカークエスト"
190,62418,92,True,"踊り子クエスト"
191,62420,93,True,"賢者クエスト"
192,62419,92,True,"リーパークエスト"
193,62421,92,True,"ヴァイパークエスト"
194,62422,93,True,"ピクトマンサークエスト"
195,62416,93,True,"青魔道士クエスト"
196,61411,89,True,"錬鉄科クエスト"
197,61411,89,True,"手工科クエスト"
198,61411,89,True,"食薬科クエスト"
199,61411,89,True,"調達科クエスト"
200,61411,89,True,"漁業科クエスト"
201,61411,89,True,"ミーン工芸館エクストラストーリー"
202,62521,90,True,"考古学部クエスト"
203,62521,90,True,"天文学部クエスト"
204,62521,90,True,"医学部クエスト"
205,62521,90,True,"文化学部クエスト"
206,62521,90,True,"エーテル学部クエスト"
207,62521,90,True,"魔法大学エクストラストーリー"
208,62523,91,True,"金荒物屋クエスト"
209,62523,91,True,"筆記工房クエスト"
210,62523,91,True,"ジュースクラフトクエスト"
211,62523,91,True,"アポサカリークエスト"
212,62523,91,True,"魚道楽クエスト"
213,62523,91,True,"万貨街エクストラストーリー"
214,62522,94,True,"TANKロールクエスト 漆黒編"
215,62522,94,True,"HEALERロールクエスト 漆黒編"
216,62522,94,True,"ファイター系DPSロールクエスト 漆黒編"
217,62522,94,True,"ソーサラー系DPSロールクエスト 漆黒編"
218,62522,94,True,"ロールエクストラストーリー 漆黒編"
219,62522,94,True,"TANKロールクエスト 暁月編"
220,62522,94,True,"HEALERロールクエスト 暁月編"
221,62522,94,True,"近接物理DPSロールクエスト 暁月編"
222,62522,94,True,"遠隔物理DPSロールクエスト 暁月編"
223,62522,94,True,"遠隔魔法DPSロールクエスト 暁月編"
224,62522,94,True,"ロールエクストラストーリー 暁月編"
