key,0,1,2,3,4,5,6,7
#,,,,,,,,
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte
0,"",0,"0",0,0,1,0,0
1000,"",0,"",0,0,0,0,0
1001,"木工コスモデータI",0,"0",0,0,1,0,0
1002,"木工コスモデータII",0,"0",0,0,1,0,0
1003,"木工コスモデータIII",0,"0",0,0,1,0,0
1004,"木工コスモデータIV",0,"0",0,0,1,0,0
1005,"鍛冶コスモデータI",0,"0",0,0,1,0,0
1006,"鍛冶コスモデータII",0,"0",0,0,1,0,0
1007,"鍛冶コスモデータIII",0,"0",0,0,1,0,0
1008,"鍛冶コスモデータIV",0,"0",0,0,1,0,0
1009,"甲冑コスモデータI",0,"0",0,0,1,0,0
1010,"甲冑コスモデータII",0,"0",0,0,1,0,0
1011,"甲冑コスモデータIII",0,"0",0,0,1,0,0
1012,"甲冑コスモデータIV",0,"0",0,0,1,0,0
1013,"彫金コスモデータI",0,"0",0,0,1,0,0
1014,"彫金コスモデータII",0,"0",0,0,1,0,0
1015,"彫金コスモデータIII",0,"0",0,0,1,0,0
1016,"彫金コスモデータIV",0,"0",0,0,1,0,0
1017,"革細工コスモデータI",0,"0",0,0,1,0,0
1018,"革細工コスモデータII",0,"0",0,0,1,0,0
1019,"革細工コスモデータIII",0,"0",0,0,1,0,0
1020,"革細工コスモデータIV",0,"0",0,0,1,0,0
1021,"裁縫コスモデータI",0,"0",0,0,1,0,0
1022,"裁縫コスモデータII",0,"0",0,0,1,0,0
1023,"裁縫コスモデータIII",0,"0",0,0,1,0,0
1024,"裁縫コスモデータIV",0,"0",0,0,1,0,0
1025,"錬金コスモデータI",0,"0",0,0,1,0,0
1026,"錬金コスモデータII",0,"0",0,0,1,0,0
1027,"錬金コスモデータIII",0,"0",0,0,1,0,0
1028,"錬金コスモデータIV",0,"0",0,0,1,0,0
1029,"調理コスモデータI",0,"0",0,0,1,0,0
1030,"調理コスモデータII",0,"0",0,0,1,0,0
1031,"調理コスモデータIII",0,"0",0,0,1,0,0
1032,"調理コスモデータIV",0,"0",0,0,1,0,0
1033,"採掘コスモデータI",0,"0",0,0,1,0,0
1034,"採掘コスモデータII",0,"0",0,0,1,0,0
1035,"採掘コスモデータIII",0,"0",0,0,1,0,0
1036,"採掘コスモデータIV",0,"0",0,0,1,0,0
1037,"園芸コスモデータI",0,"0",0,0,1,0,0
1038,"園芸コスモデータII",0,"0",0,0,1,0,0
1039,"園芸コスモデータIII",0,"0",0,0,1,0,0
1040,"園芸コスモデータIV",0,"0",0,0,1,0,0
