0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,3,4,4,4,4,4,4,4,1,2,3,5,5,5,5,5,5,5,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0
2,1,4,4,4,2,4,4,3,4,4,1,4,4,4,2,4,4,3,4,4,1,0,1,0,1,2,0,1,2,0,1,0,1,0,1,2,0,1,2,0
3,1,2,3,4,4,4,4,4,4,4,1,2,3,5,5,5,5,5,5,5,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0
4,1,4,4,4,2,4,4,3,4,4,1,4,4,4,2,4,4,3,4,4,1,0,1,0,1,2,0,1,2,0,1,0,1,0,1,2,0,1,2,0
5,1,2,3,4,4,4,4,4,4,4,1,2,3,5,5,5,5,5,5,5,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0
6,1,4,4,4,2,4,4,3,4,4,1,4,4,4,2,4,4,3,4,4,1,0,1,0,1,2,0,1,2,0,1,0,1,0,1,2,0,1,2,0
7,1,2,3,4,4,4,4,4,4,4,1,2,3,5,5,5,5,5,5,5,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0
8,1,4,4,4,2,4,4,3,4,4,1,4,4,4,2,4,4,3,4,4,1,0,1,0,1,2,0,1,2,0,1,0,1,0,1,2,0,1,2,0
9,1,4,4,4,2,4,4,3,4,4,1,4,4,4,2,4,4,3,4,4,1,0,1,0,1,2,0,1,2,0,1,0,1,0,1,2,0,1,2,0
10,1,4,4,4,2,4,4,3,4,4,1,4,4,4,2,4,4,3,4,4,1,0,1,0,1,2,0,1,2,0,1,0,1,0,1,2,0,1,2,0
11,1,4,4,4,2,4,4,3,4,4,1,4,4,4,2,4,4,3,4,4,1,0,1,0,1,2,0,1,2,0,1,0,1,0,1,2,0,1,2,0
12,1,4,4,4,2,4,4,3,4,4,1,4,4,4,2,4,4,3,4,4,1,0,1,0,1,2,0,1,2,0,1,0,1,0,1,2,0,1,2,0
