0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,654,19,716,26,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,658,7,667,8,693,25,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,9,264,10,244,11,278,12,538,13,291,14,597,15,638,16,280,17,539,18,694,0,0,0,0,0,0,0,0,0,0,0,0
5,20,718,27,763,28,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,21,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,22,256,23,292,24,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,29,803,30,791,32,846,37,871,38,924,43,950,44,965,33,788,39,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,31,809,34,873,40,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,35,878,36,879,41,946,42,947,45,979,46,980,58,1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,47,986,54,1020,59,1069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,48,833,49,996,50,1017,53,1031,55,1062,57,1077,60,1116,56,1044,52,1006,61,1094,51,1010,0,0,0,0,0,0,0,0,0,0
